CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653348200886,123453071,73,Education,79.9,36644,20181202
4210653348200886,123453071,178,Grocery,1.35,36646,20181101
4210653348200886,123453071,12,Entertainment,91.13,36640,20180916
4210653348200886,123453071,29,Entertainment,33.47,36643,20180915
4210653348200886,123453071,56,Education,13.55,36649,20180904
4210653348200886,123453071,35,Bills,19.7,36636,20180825
4210653348200886,123453071,15,Bills,16.08,36642,20180812
4210653348200886,123453071,118,Grocery,89.95,36652,20180706
4210653348200886,123453071,39,Grocery,49.61,36648,20180601
4210653348200886,123453071,164,Bills,28.99,36635,20180528
4210653348200886,123453071,42,Healthcare,13.9,36637,20180522
4210653348200886,123453071,19,Healthcare,39.67,36645,20180518
4210653348200886,123453071,50,Gas,94.2,36639,20180516
4210653348200886,123453071,26,Test,67.13,36634,20180501
4210653348200886,123453071,39,Entertainment,89.95,36647,20180414
4210653348200886,123453071,11,Education,4.06,36638,20180408
4210653348200886,123453071,49,Test,38.75,36641,20180315
4210653348200886,123453071,93,Healthcare,70.43,36651,20180314
