CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653352923533,123454504,5,Healthcare,25.67,28528,20180727
4210653370890538,123452286,5,Gas,48.81,40610,20180727
4210653350230468,123459894,5,Bills,57.99,468,20180725
4210653375981317,123451012,5,Test,96.34,46638,20180723
4210653348333578,123458265,5,Grocery,56.52,8604,20180723
4210653361046455,123454163,5,Entertainment,97.71,30894,20180722
4210653375981317,123451012,5,Healthcare,13.44,46593,20180720
4210653337047762,123458817,5,Healthcare,63.81,5529,20180719
4210653352413267,123453074,5,Healthcare,31.9,36605,20180719
4210653334350739,123459600,5,Bills,53.53,2113,20180718
4210653325735590,123459788,5,Bills,29.15,1207,20180717
4210653391000541,123456290,5,Grocery,53.62,19474,20180716
4210653330141857,123452194,5,Entertainment,87.87,41038,20180714
4210653368420333,123458264,5,Education,5.97,8706,20180712
4210653321158620,123454111,5,Grocery,23.99,31028,20180712
4210653388606505,123459076,5,Education,86.64,4338,20180710
4210653338516826,123458277,5,Education,36.9,8505,20180710
4210653383300870,123455526,5,Healthcare,80.21,23193,20180710
4210653385089392,123455683,5,Test,58.27,22621,20180709
4210653344091199,123454089,5,Education,91.96,31043,20180707
4210653317360015,123453565,5,Education,53.28,34034,20180707
4210653349578578,123456428,5,Healthcare,57.44,18964,20180707
4210653360484113,123458830,5,Grocery,77.74,5369,20180706
4210653371006391,123458488,5,Bills,13.61,7383,20180706
4210653376870818,123457877,5,Gas,43.42,10744,20180706
4210653366626523,123455425,5,Grocery,83.29,23860,20180706
4210653334618766,123452624,5,Healthcare,38.82,38623,20180706
4210653350314282,123457747,5,Bills,85.64,11663,20180705
4210653333257054,123452706,5,Gas,96.88,38264,20180704
4210653363348552,123458431,5,Healthcare,89.58,7586,20180703
4210653396504284,123453249,5,Education,62.53,35749,20180703
4210653383049785,123453395,5,Education,41.46,34984,20180702
4210653393632357,123458278,5,Test,97.61,8468,20180701
