CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653310400536,123451799,79,Bills,43.63,42728,20181227
4210653310400536,123451799,123,Healthcare,57.86,42703,20181225
4210653310400536,123451799,164,Test,57.4,42743,20181225
4210653310400536,123451799,90,Healthcare,99.06,42712,20181219
4210653310400536,123451799,39,Entertainment,5.14,42707,20181213
4210653310400536,123451799,21,Healthcare,47.51,42697,20181211
4210653310400536,123451799,107,Healthcare,46.8,42735,20181207
4210653310400536,123451799,66,Entertainment,5.38,42737,20181202
4210653310400536,123451799,70,Bills,57.91,42753,20181202
4210653310400536,123451799,166,Entertainment,71.36,42724,20181202
4210653310400536,123451799,11,Bills,18.29,42716,20181120
4210653310400536,123451799,105,Test,67.44,42691,20181110
4210653310400536,123451799,58,Entertainment,80.81,42689,20181106
4210653310400536,123451799,103,Healthcare,79.85,42766,20181104
4210653310400536,123451799,18,Grocery,75.04,42725,20181028
4210653310400536,123451799,53,Gas,63.89,42730,20181024
4210653310400536,123451799,188,Grocery,18.95,42768,20181024
4210653310400536,123451799,66,Gas,7.64,42732,20181019
4210653310400536,123451799,77,Grocery,58.17,42693,20181005
4210653310400536,123451799,111,Entertainment,99.18,42742,20180916
4210653310400536,123451799,52,Healthcare,57.34,42747,20180915
4210653310400536,123451799,105,Bills,24.17,42708,20180907
4210653310400536,123451799,60,Gas,27.48,42739,20180906
4210653310400536,123451799,121,Test,40.45,42741,20180902
4210653310400536,123451799,79,Education,28.75,42717,20180828
4210653310400536,123451799,145,Healthcare,100.95,42744,20180824
4210653310400536,123451799,58,Healthcare,8.92,42764,20180816
4210653310400536,123451799,80,Grocery,6.36,42711,20180812
4210653310400536,123451799,52,Bills,3.8,42721,20180805
4210653310400536,123451799,54,Education,64.43,42720,20180716
4210653310400536,123451799,175,Test,11.51,42761,20180714
4210653310400536,123451799,166,Gas,77.55,42706,20180714
4210653310400536,123451799,20,Test,98.89,42714,20180707
4210653310400536,123451799,126,Education,84.11,42726,20180703
4210653310400536,123451799,46,Bills,5.9,42767,20180703
4210653310400536,123451799,66,Grocery,88.55,42765,20180702
4210653310400536,123451799,99,Healthcare,100.09,42745,20180625
4210653310400536,123451799,126,Test,78.25,42727,20180615
4210653310400536,123451799,38,Education,21.66,42705,20180609
4210653310400536,123451799,119,Entertainment,63.39,42750,20180608
4210653310400536,123451799,85,Bills,36.63,42763,20180603
4210653310400536,123451799,14,Test,69.94,42692,20180602
4210653310400536,123451799,40,Healthcare,57.38,42685,20180523
4210653310400536,123451799,67,Test,80.32,42760,20180516
4210653310400536,123451799,166,Education,99.82,42695,20180514
4210653310400536,123451799,135,Bills,18.46,42756,20180513
4210653310400536,123451799,76,Entertainment,70.36,42688,20180504
4210653310400536,123451799,39,Bills,87.33,42754,20180503
4210653310400536,123451799,9,Bills,57.53,42762,20180427
4210653310400536,123451799,23,Test,33.25,42755,20180425
4210653310400536,123451799,48,Healthcare,70.71,42722,20180424
4210653310400536,123451799,53,Healthcare,34.32,42736,20180414
4210653310400536,123451799,83,Bills,80.15,42702,20180407
4210653310400536,123451799,5,Education,48.25,42690,20180405
4210653310400536,123451799,35,Test,76.89,42759,20180327
4210653310400536,123451799,32,Healthcare,29.72,42701,20180325
4210653310400536,123451799,3,Gas,93.8,42718,20180324
4210653310400536,123451799,85,Bills,59.6,42696,20180319
4210653310400536,123451799,47,Education,9.32,42719,20180319
4210653310400536,123451799,23,Gas,70.34,42694,20180318
4210653310400536,123451799,59,Healthcare,71.72,42740,20180318
4210653310400536,123451799,63,Bills,89.29,42758,20180307
4210653310400536,123451799,24,Bills,13.58,42738,20180306
4210653310400536,123451799,42,Healthcare,93.58,42700,20180228
4210653310400536,123451799,9,Healthcare,65.22,42687,20180223
4210653310400536,123451799,52,Gas,38.05,42729,20180221
4210653310400536,123451799,114,Bills,84.34,42704,20180208
4210653310400536,123451799,10,Entertainment,82.23,42709,20180205
4210653310400536,123451799,29,Entertainment,51.52,42749,20180205
4210653310400536,123451799,168,Grocery,9.06,42683,20180203
4210653310400536,123451799,16,Test,30.88,42731,20180128
4210653310400536,123451799,56,Entertainment,30.6,42710,20180127
4210653310400536,123451799,12,Gas,30.51,42715,20180125
4210653310400536,123451799,160,Test,27.43,42684,20180124
4210653310400536,123451799,77,Education,9.6,42723,20180123
4210653310400536,123451799,126,Test,73.58,42686,20180119
4210653310400536,123451799,56,Education,80.22,42733,20180118
4210653310400536,123451799,121,Entertainment,78.82,42713,20180115
4210653310400536,123451799,121,Education,33.14,42746,20180111
4210653310400536,123451799,4,Healthcare,40.35,42752,20180111
4210653310400536,123451799,117,Healthcare,28.16,42734,20180109
4210653310400536,123451799,114,Healthcare,50.5,42748,20180109
4210653310400536,123451799,63,Test,64.93,42698,20180107
4210653310400536,123451799,164,Healthcare,45.2,42757,20180104
4210653310400536,123451799,77,Healthcare,25.16,42699,20180104
4210653310400536,123451799,83,Entertainment,3.64,42751,20180104
