CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653310395982,123454202,2,Grocery,91.7,30649,20180527
4210653371070866,123458546,2,Grocery,41.18,7029,20180526
4210653352798797,123459362,2,Bills,7.64,3003,20180525
4210653343509148,123458999,2,Gas,91.61,4691,20180525
4210653332188638,123454213,2,Bills,6.47,30529,20180524
4210653391000541,123456290,2,Entertainment,92.5,19515,20180523
4210653310773972,123457511,2,Entertainment,41.34,12725,20180520
4210653381143901,123457931,2,Education,47.25,10377,20180519
4210653391209623,123451203,2,Education,53.85,45368,20180518
4210653321168764,123457445,2,Grocery,79.67,13189,20180518
4210653351606480,123451597,2,Entertainment,85.44,43345,20180518
4210653375392895,123459057,2,Bills,11.37,4437,20180516
4210653323141413,123453520,2,Grocery,88.66,34193,20180516
4210653312021765,123453807,2,Bills,90.13,32171,20180515
4210653348333578,123458265,2,Entertainment,7.13,8612,20180515
4210653312528499,123459918,2,Grocery,9.92,231,20180513
4210653370921357,123458789,2,Entertainment,2.09,5735,20180511
4210653345872640,123456329,2,Bills,96.5,19284,20180511
4210653380891626,123455117,2,Test,64.16,25071,20180510
4210653375181712,123452301,2,Bills,5.07,40523,20180510
4210653360937265,123453956,2,Healthcare,57.06,31636,20180509
4210653359919484,123459177,2,Grocery,52.04,3816,20180508
4210653341176498,123453727,2,Gas,36.7,32912,20180508
4210653322591693,123457767,2,Education,39.96,11531,20180508
4210653322109605,123454478,2,Bills,53.97,28767,20180507
4210653311229354,123452373,2,Test,63.17,40134,20180506
4210653331576279,123451369,2,Bills,49.02,44762,20180506
4210653362772159,123458697,2,Bills,74.14,6187,20180505
4210653349313327,123454503,2,Healthcare,13.16,28585,20180505
4210653364653072,123455991,2,Bills,100.4,21144,20180504
4210653362221487,123454555,2,Gas,17.95,28058,20180503
4210653330922835,123453781,2,Bills,20.5,32339,20180503
4210653348932823,123459400,2,Test,87.43,2933,20180502
4210653313938481,123454006,2,Education,65.74,31256,20180502
4210653368879921,123452363,2,Bills,17.55,40289,20180502
4210653376870818,123457877,2,Grocery,35.52,10776,20180502
4210653386936558,123458062,2,Bills,7.82,9804,20180501
4210653333641362,123454894,2,Grocery,68.19,26797,20180501
4210653313938481,123454006,2,Education,70.92,31178,20180501
4210653363336062,123455002,2,Test,41.94,26023,20180501
