CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653310356919,123454431,83,Bills,51.88,29092,20181221
4210653310356919,123454431,39,Education,59.06,29096,20181205
4210653310356919,123454431,79,Gas,42.4,29107,20181126
4210653310356919,123454431,3,Healthcare,21.67,29102,20181125
4210653310356919,123454431,30,Grocery,63.56,29103,20181108
4210653310356919,123454431,73,Test,1.8,29100,20181009
4210653310356919,123454431,36,Bills,21.34,29098,20181003
4210653310356919,123454431,32,Education,57.0,29090,20180924
4210653310356919,123454431,70,Test,35.42,29091,20180814
4210653310356919,123454431,10,Bills,45.13,29105,20180811
4210653310356919,123454431,89,Bills,59.21,29106,20180809
4210653310356919,123454431,121,Test,37.55,29095,20180722
4210653310356919,123454431,43,Test,56.28,29097,20180520
4210653310356919,123454431,109,Entertainment,26.03,29099,20180307
4210653310356919,123454431,99,Healthcare,20.42,29101,20180206
4210653310356919,123454431,54,Entertainment,52.16,29094,20180124
4210653310356919,123454431,95,Gas,67.45,29104,20180118
4210653310356919,123454431,9,Test,90.48,29109,20180117
4210653310356919,123454431,78,Education,3.38,29108,20180108
4210653310356919,123454431,59,Healthcare,40.8,29093,20180102
