CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653349028689,123459988,1,Bills,53.03,77,20181128
4210653387601569,123451978,1,Healthcare,28.26,42064,20181128
4210653339714399,123459810,1,Gas,2.49,1001,20181127
4210653312528499,123459918,1,Education,58.78,239,20181126
4210653322552664,123454641,1,Healthcare,76.03,27577,20181125
4210653366723665,123455406,1,Gas,26.42,24083,20181124
4210653316694706,123453881,1,Bills,81.68,31805,20181124
4210653334350739,123459600,1,Healthcare,1.14,2123,20181123
4210653365767695,123457682,1,Gas,5.38,11958,20181123
4210653323781193,123455582,1,Healthcare,63.88,23018,20181123
4210653337454274,123456322,1,Entertainment,75.96,19357,20181121
4210653379087852,123452023,1,Gas,55.2,41788,20181121
4210653338289172,123457455,1,Education,15.99,12998,20181120
4210653352218492,123458883,1,Test,16.55,5166,20181118
4210653354780671,123458574,1,Gas,16.58,6934,20181118
4210653367943517,123453160,1,Bills,75.81,36280,20181117
4210653322591693,123457767,1,Gas,69.21,11504,20181116
4210653340296427,123457457,1,Bills,100.26,12997,20181115
4210653325156425,123456120,1,Gas,11.62,20400,20181113
4210653370921357,123458789,1,Healthcare,74.39,5682,20181110
4210653340692634,123457773,1,Test,71.99,11452,20181110
4210653396825950,123451927,1,Grocery,50.34,42093,20181110
4210653365767695,123457682,1,Gas,85.07,11942,20181109
4210653329555948,123454936,1,Test,69.09,26340,20181109
4210653310773972,123457511,1,Test,18.51,12772,20181108
4210653338000840,123457233,1,Bills,24.23,14404,20181108
4210653352401004,123456941,1,Healthcare,17.67,16265,20181107
4210653367415132,123456374,1,Bills,14.69,19159,20181105
4210653373571809,123459060,1,Grocery,69.64,4417,20181104
4210653343390318,123452204,1,Grocery,57.51,40876,20181103
4210653343988184,123453505,1,Healthcare,68.83,34320,20181101
4210653375232564,123451170,1,Bills,33.19,45552,20181101
